symbol,company_name,price,net_change,change_percent,market_cap,category,source_url,scraped_at
NVDA,NVIDIA Corporation Common Stock,190.04,4.63,2.497,4617972000000.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
AAPL,Apple Inc. Common Stock,274.62,-3.24,-1.166,4031734666800.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
GOOG,Alphabet Inc. Class C Capital Stock,324.4,1.3,0.402,3924266800000.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
GOOGL,Alphabet Inc. Class A Common Stock,324.32,1.46,0.452,3923299040000.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
MSFT,Microsoft Corporation Common Stock,413.6,12.46,3.106,3071240185834.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
AMZN,"Amazon.com, Inc. Common Stock",208.72,-1.6,-0.761,2231261885816.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,355.41,6.56,1.88,1843350544166.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
META,"Meta Platforms, Inc. Class A Common Stock",677.22,15.76,2.383,1713065551330.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
AVGO,Broadcom Inc. Common Stock,343.94,11.02,3.31,1630713710428.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
TSLA,"Tesla, Inc. Common Stock",417.32,6.21,1.511,1565964915563.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
BRK/A,Berkshire Hathaway Inc.,747806.0,-14763.63,-1.936,1099928402444.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
BRK/B,Berkshire Hathaway Inc.,498.08,-10.01,-1.97,1098919567668.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
WMT,Walmart Inc. Common Stock,129.02,-2.16,-1.647,1028310941695.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
LLY,Eli Lilly and Company Common Stock,1044.67,-13.51,-1.277,987614049425.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
JPM,JP Morgan Chase & Co. Common Stock,322.1,-0.3,-0.093,876840685220.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
XOM,Exxon Mobil Corporation Common Stock,151.21,2.16,1.449,637677612493.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
V,Visa Inc.,325.58,-6.0,-1.81,623814309847.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
AZN,AstraZeneca PLC Ordinary Shares,188.01,-5.02,-2.601,583103941261.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
JNJ,Johnson & Johnson Common Stock,238.64,-1.35,-0.563,574954183141.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
ASML,ASML Holding N.V. New York Registry Shares,1429.49,16.48,1.166,562195144903.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
MA,Mastercard Incorporated Common Stock,535.33,-13.41,-2.444,480724117310.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
ORCL,Oracle Corporation Common Stock,156.59,13.77,9.642,450053909690.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
COST,Costco Wholesale Corporation Common Stock,997.59,-3.57,-0.357,442799685719.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
MU,"Micron Technology, Inc. Common Stock",383.5,-11.19,-2.835,431632801594.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
BAC,Bank of America Corporation Common Stock,56.41,-0.12,-0.212,411933773976.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
ABBV,AbbVie Inc. Common Stock,223.26,-0.17,-0.076,394586292940.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
HD,"Home Depot, Inc. (The) Common Stock",381.0,-4.15,-1.078,379289875785.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,163.0,0.49,0.302,376412552632.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
CVX,Chevron Corporation Common Stock,182.6,1.74,0.962,367669043612.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
PG,Procter & Gamble Company (The) Common Stock,157.33,-1.84,-1.156,365635027771.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
AMD,"Advanced Micro Devices, Inc. Common Stock",216.0,7.56,3.627,351656972640.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
CAT,"Caterpillar, Inc. Common Stock",742.12,15.92,2.192,347297017784.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
NFLX,"Netflix, Inc. Common Stock",81.47,-0.73,-0.888,343979550361.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
CSCO,"Cisco Systems, Inc. Common Stock (DE)",86.78,1.96,2.311,342875986177.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
PLTR,Palantir Technologies Inc. Class A Common Stock,142.91,7.01,5.158,340616887064.0,NASDAQ Listed Stocks,https://www.nasdaq.com/market-activity/stocks/screener,2026-02-10 10:31:02.316259
